State (FIPS Code),County of current residence,Census Tract,Qualifying Name,FIPS,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_QName,Geo_FIPS,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
09,001,010101,"Census Tract 101.01, Fairfield County, Connecticut",09001010101,2034,1923,111,3103,117,536,262,1189,724,201,74,4391,4391,3979,126,0,135,0,16,135,4391,4162,3889,126,0,135,0,0,12,229,90,0,0,0,0,16,123,996,0,996
09,001,010102,"Census Tract 101.02, Fairfield County, Connecticut",09001010102,1905,1846,59,2625,21,175,299,933,717,314,166,4136,4136,3709,82,0,127,0,0,218,4136,3959,3563,51,0,127,0,0,218,177,146,31,0,0,0,0,0,1186,0,1186
09,001,010201,"Census Tract 102.01, Fairfield County, Connecticut",09001010201,1278,1240,38,2237,46,195,199,775,720,247,55,3501,3501,3125,20,0,152,0,8,196,3501,3062,2824,13,0,152,0,0,73,439,301,7,0,0,0,8,123,954,42,912
09,001,010202,"Census Tract 102.02, Fairfield County, Connecticut",09001010202,2947,2748,199,3791,135,650,366,1329,994,217,100,5743,5743,4428,20,11,433,0,156,695,5743,5281,4131,20,11,433,0,41,645,462,297,0,0,0,0,115,50,1638,90,1548
09,001,010300,"Census Tract 103, Fairfield County, Connecticut",09001010300,2058,1982,76,3033,46,84,277,1221,945,379,81,4137,4137,3625,94,0,224,0,57,137,4137,4010,3555,94,0,224,0,0,137,127,70,0,0,0,0,57,0,913,0,913
09,001,010400,"Census Tract 104, Fairfield County, Connecticut",09001010400,3560,3307,253,4223,170,799,840,1230,944,160,80,5615,5615,4764,206,0,288,0,151,206,5615,5304,4735,185,0,288,0,0,96,311,29,21,0,0,0,151,110,1014,21,993
09,001,010500,"Census Tract 105, Fairfield County, Connecticut",09001010500,3747,3391,356,4437,369,1100,955,1145,742,92,34,6478,6478,4958,196,0,439,0,366,519,6478,4630,3691,196,0,439,0,100,204,1848,1267,0,0,0,0,266,315,1373,126,1247
09,001,010600,"Census Tract 106, Fairfield County, Connecticut",09001010600,1047,913,134,1580,9,83,266,699,360,141,22,1942,1942,1441,128,6,172,11,35,149,1942,1793,1337,120,6,172,0,35,123,149,104,8,0,0,11,0,26,277,90,187
09,001,010700,"Census Tract 107, Fairfield County, Connecticut",09001010700,1362,1198,164,2385,137,387,341,618,634,237,31,3391,3391,2466,452,0,137,0,288,48,3391,2809,2181,444,0,137,0,0,47,582,285,8,0,0,0,288,1,882,64,818
09,001,010800,"Census Tract 108, Fairfield County, Connecticut",09001010800,1798,1746,52,2256,125,250,306,786,625,123,41,3292,3292,2782,20,0,201,0,159,130,3292,2908,2613,20,0,201,0,16,58,384,169,0,0,0,0,143,72,915,151,764
09,001,010900,"Census Tract 109, Fairfield County, Connecticut",09001010900,2530,2297,233,3378,101,262,400,1285,963,201,166,5317,5317,3340,219,27,1233,0,34,464,5317,4658,3059,178,27,1233,0,7,154,659,281,41,0,0,0,27,310,1580,19,1561
09,001,011000,"Census Tract 110, Fairfield County, Connecticut",09001011000,2257,2250,7,3340,56,252,246,1180,1184,295,127,5597,5597,4670,36,0,424,0,108,359,5597,5106,4379,13,0,424,0,43,247,491,291,23,0,0,0,65,112,2076,24,2052
09,001,011100,"Census Tract 111, Fairfield County, Connecticut",09001011100,2023,1916,107,3074,86,90,215,1278,925,336,144,5148,5148,4522,9,13,326,0,7,271,5148,4494,3886,9,13,326,0,7,253,654,636,0,0,0,0,0,18,1792,91,1701
09,001,011200,"Census Tract 112, Fairfield County, Connecticut",09001011200,832,787,45,1199,28,88,116,536,306,92,33,1857,1857,1445,6,0,80,0,127,199,1857,1543,1346,6,0,80,0,5,106,314,99,0,0,0,0,122,93,508,14,494
09,001,011300,"Census Tract 113, Fairfield County, Connecticut",09001011300,1866,1703,163,2052,222,508,363,594,263,75,27,2910,2910,1930,67,10,133,0,429,341,2910,1395,1121,53,10,133,0,0,78,1515,809,14,0,0,0,429,263,609,119,490
09,001,020101,"Census Tract 201.01, Fairfield County, Connecticut",09001020101,1540,1388,152,2109,202,290,157,803,522,48,87,2588,2588,1458,357,0,612,0,105,56,2588,2266,1282,337,0,612,0,0,35,322,176,20,0,0,0,105,21,286,81,205
09,001,020102,"Census Tract 201.02, Fairfield County, Connecticut",09001020102,1959,1959,0,2775,441,431,331,655,649,178,90,3560,3560,1952,849,48,342,0,145,224,3560,2808,1449,849,30,342,0,0,138,752,503,0,18,0,0,145,86,580,18,562
09,001,020200,"Census Tract 202, Fairfield County, Connecticut",09001020200,2262,2222,40,3107,20,224,503,1140,806,347,67,4047,4047,3468,186,0,288,0,0,105,4047,3778,3254,131,0,288,0,0,105,269,214,55,0,0,0,0,0,640,27,613
09,001,020301,"Census Tract 203.01, Fairfield County, Connecticut",09001020301,1765,1721,44,2457,61,207,435,730,610,213,201,3385,3385,2616,64,0,151,0,28,526,3385,2943,2487,64,0,151,0,0,241,442,129,0,0,0,0,28,285,782,35,747
09,001,020302,"Census Tract 203.02, Fairfield County, Connecticut",09001020302,2053,1924,129,2655,196,140,460,889,556,314,100,3966,3966,3433,250,0,196,0,42,45,3966,3610,3119,250,0,196,0,0,45,356,314,0,0,0,0,42,0,616,117,499
09,001,020400,"Census Tract 204, Fairfield County, Connecticut",09001020400,1855,1668,187,2578,135,404,384,763,558,281,53,3545,3545,2955,50,0,373,0,27,140,3545,3173,2720,50,0,373,0,0,30,372,235,0,0,0,0,27,110,616,29,587
09,001,020500,"Census Tract 205, Fairfield County, Connecticut",09001020500,2437,2222,215,3570,290,410,506,1202,825,288,49,5119,5119,4223,73,0,334,28,6,455,5119,4637,4006,73,0,334,28,0,196,482,217,0,0,0,0,6,259,1160,23,1137
09,001,020600,"Census Tract 206, Fairfield County, Connecticut",09001020600,2617,2499,118,3561,194,509,684,977,747,240,210,4790,4790,3178,253,0,611,0,131,617,4790,3936,2808,253,0,609,0,37,229,854,370,0,0,2,0,94,388,937,0,937
09,001,020700,"Census Tract 207, Fairfield County, Connecticut",09001020700,2275,2222,53,3108,192,580,597,1057,451,200,31,4266,4266,3520,68,68,216,0,194,200,4266,3704,3259,61,68,216,0,0,100,562,261,7,0,0,0,194,100,809,3,806
09,001,020800,"Census Tract 208, Fairfield County, Connecticut",09001020800,1630,1581,49,1981,64,354,438,494,529,77,25,2751,2751,2274,18,8,204,0,28,219,2751,2449,2143,18,0,204,0,22,62,302,131,0,8,0,0,6,157,627,0,627
09,001,020900,"Census Tract 209, Fairfield County, Connecticut",09001020900,2874,2691,183,3462,255,897,660,1022,496,92,40,5197,5197,3330,753,113,315,0,564,122,5197,3850,2804,716,0,315,0,0,15,1347,526,37,113,0,0,564,107,1173,210,963
09,001,021000,"Census Tract 210, Fairfield County, Connecticut",09001021000,2053,1919,134,2270,62,402,293,947,381,125,60,3423,3423,2557,483,0,74,0,78,231,3423,3144,2461,481,0,74,0,0,128,279,96,2,0,0,0,78,103,773,119,654
09,001,021100,"Census Tract 211, Fairfield County, Connecticut",09001021100,4150,3853,297,4846,1090,1260,598,1067,650,174,7,6894,6894,4222,519,0,373,0,547,1233,6894,3903,2882,475,0,373,0,26,147,2991,1340,44,0,0,0,521,1086,1520,246,1274
09,001,021200,"Census Tract 212, Fairfield County, Connecticut",09001021200,2622,2546,76,3260,182,263,623,1122,828,160,82,4418,4418,3615,80,18,452,0,113,140,4418,3765,3100,79,0,452,0,12,122,653,515,1,18,0,0,101,18,868,0,868
09,001,021300,"Census Tract 213, Fairfield County, Connecticut",09001021300,3047,2910,137,3553,446,743,742,840,644,94,44,4660,4660,2682,501,0,439,0,189,849,4660,3006,1968,501,0,439,0,13,85,1654,714,0,0,0,0,176,764,801,44,757
09,001,021401,"Census Tract 214.01, Fairfield County, Connecticut",09001021401,1999,1898,101,2312,653,586,139,616,139,149,30,3584,3584,977,661,0,195,0,1459,292,3584,1289,433,661,0,195,0,0,0,2295,544,0,0,0,0,1459,292,1010,0,1010
09,001,021402,"Census Tract 214.02, Fairfield County, Connecticut",09001021402,1862,1735,127,2398,172,946,349,446,227,245,13,3306,3306,1691,1058,0,237,0,250,70,3306,2116,836,1043,0,237,0,0,0,1190,855,15,0,0,0,250,70,590,48,542
09,001,021501,"Census Tract 215.01, Fairfield County, Connecticut",09001021501,2234,2048,186,2646,928,693,517,335,172,0,1,4308,4308,898,1249,0,321,0,1294,546,4308,1893,284,1231,0,321,0,19,38,2415,614,18,0,0,0,1275,508,991,310,681
09,001,021502,"Census Tract 215.02, Fairfield County, Connecticut",09001021502,1335,1265,70,1686,557,412,358,304,55,0,0,2500,2500,628,1022,0,0,0,743,107,2500,1282,260,1022,0,0,0,0,0,1218,368,0,0,0,0,743,107,619,45,574
09,001,021601,"Census Tract 216.01, Fairfield County, Connecticut",09001021601,2512,2373,139,2713,108,428,415,897,651,103,111,3326,3326,1617,675,27,685,0,68,254,3326,2907,1430,655,27,685,0,30,80,419,187,20,0,0,0,38,174,293,131,162
09,001,021602,"Census Tract 216.02, Fairfield County, Connecticut",09001021602,2826,2750,76,3437,157,344,371,1742,674,99,50,4740,4740,1800,856,0,1183,0,562,339,4740,3722,1639,834,0,1183,0,0,66,1018,161,22,0,0,0,562,273,940,280,660
09,001,021701,"Census Tract 217.01, Fairfield County, Connecticut",09001021701,2232,2205,27,2746,354,485,475,946,335,151,0,3902,3902,1516,1054,0,358,0,668,306,3902,2775,1284,977,0,358,0,0,156,1127,232,77,0,0,0,668,150,541,0,541
09,001,021702,"Census Tract 217.02, Fairfield County, Connecticut",09001021702,2819,2684,135,3015,154,151,524,1643,397,76,70,4074,4074,2499,584,0,763,0,4,224,4074,3293,1876,584,0,763,0,0,70,781,623,0,0,0,0,4,154,682,257,425
09,001,021801,"Census Tract 218.01, Fairfield County, Connecticut",09001021801,2758,2600,158,3326,231,795,569,896,618,128,89,4751,4751,2916,456,0,653,23,411,292,4751,3348,2123,430,0,653,0,39,103,1403,793,26,0,0,23,372,189,1067,325,742
09,001,021802,"Census Tract 218.02, Fairfield County, Connecticut",09001021802,3174,2969,205,3869,476,1065,992,879,307,38,112,5372,5372,2533,612,164,504,0,1291,268,5372,2960,1808,603,11,504,0,23,11,2412,725,9,153,0,0,1268,257,986,153,833
09,001,021900,"Census Tract 219, Fairfield County, Connecticut",09001021900,3922,3723,199,4629,364,944,1555,889,563,142,172,6141,6141,4088,210,0,605,0,1007,231,6141,4623,3684,197,0,605,0,34,103,1518,404,13,0,0,0,973,128,968,56,912
09,001,022000,"Census Tract 220, Fairfield County, Connecticut",09001022000,2273,2188,85,2211,261,321,647,490,431,49,12,3418,3418,1867,618,0,31,0,53,849,3418,2411,1365,607,0,31,0,0,408,1007,502,11,0,0,0,53,441,978,241,737
09,001,022101,"Census Tract 221.01, Fairfield County, Connecticut",09001022101,1936,1750,186,2121,923,560,375,122,141,0,0,3557,3557,913,176,0,283,0,1745,440,3557,1228,631,176,0,283,0,0,138,2329,282,0,0,0,0,1745,302,1083,371,712
09,001,022102,"Census Tract 221.02, Fairfield County, Connecticut",09001022102,2496,2242,254,2910,343,966,485,835,268,0,13,4196,4196,2755,620,0,61,0,414,346,4196,2465,1792,612,0,61,0,0,0,1731,963,8,0,0,0,414,346,812,0,812
09,001,022201,"Census Tract 222.01, Fairfield County, Connecticut",09001022201,2392,2278,114,2423,413,308,271,836,436,84,75,3188,3188,1547,391,13,321,0,560,356,3188,2104,1390,260,13,321,0,14,106,1084,157,131,0,0,0,546,250,427,144,283
09,001,022202,"Census Tract 222.02, Fairfield County, Connecticut",09001022202,2989,2874,115,3197,328,674,488,1083,446,143,35,4172,4172,2657,780,0,194,0,270,271,4172,3049,1999,751,0,194,0,27,78,1123,658,29,0,0,0,243,193,520,0,520
09,001,022300,"Census Tract 223, Fairfield County, Connecticut",09001022300,3513,3263,250,4165,314,1205,1200,962,377,51,56,5506,5506,1614,1866,33,79,0,928,986,5506,2919,1004,1777,0,79,0,59,0,2587,610,89,33,0,0,869,986,980,317,663
09,001,022400,"Census Tract 224, Fairfield County, Connecticut",09001022400,1279,1128,151,1563,16,201,173,577,391,186,19,2170,2170,1985,3,13,59,0,31,79,2170,1990,1840,2,13,59,0,12,64,180,145,1,0,0,0,19,15,439,6,433
09,001,030100,"Census Tract 301, Fairfield County, Connecticut",09001030100,1689,1674,15,2470,89,105,127,1131,801,198,19,3468,3468,3156,60,0,146,0,21,85,3468,3302,3019,60,0,146,0,16,61,166,137,0,0,0,0,5,24,921,23,898
09,001,030200,"Census Tract 302, Fairfield County, Connecticut",09001030200,1481,1409,72,1956,9,103,181,1036,451,161,15,3281,3281,2716,0,0,232,0,33,300,3281,3086,2605,0,0,232,0,0,249,195,111,0,0,0,0,33,51,1073,11,1062
09,001,030300,"Census Tract 303, Fairfield County, Connecticut",09001030300,1890,1774,116,2717,0,82,145,1250,901,257,82,4516,4516,4067,43,0,122,0,75,209,4516,4207,3916,42,0,122,0,21,106,309,151,1,0,0,0,54,103,1469,59,1410
09,001,030400,"Census Tract 304, Fairfield County, Connecticut",09001030400,1986,1792,194,2499,53,185,197,1328,579,121,36,4209,4209,3342,40,0,557,0,87,183,4209,4012,3284,40,0,557,0,18,113,197,58,0,0,0,0,69,70,1302,97,1205
09,001,030500,"Census Tract 305, Fairfield County, Connecticut",09001030500,2954,2783,171,3530,89,137,382,1559,1038,209,116,6011,6011,5504,35,8,256,0,25,183,6011,5827,5397,27,0,256,0,0,147,184,107,8,8,0,0,25,36,2108,101,2007
09,001,035101,"Census Tract 351.01, Fairfield County, Connecticut",09001035101,1989,1879,110,2713,27,250,540,874,679,300,43,4242,4242,3655,20,0,482,0,0,85,4242,3964,3462,20,0,482,0,0,0,278,193,0,0,0,0,0,85,1257,0,1257
09,001,035102,"Census Tract 351.02, Fairfield County, Connecticut",09001035102,1540,1488,52,2309,1,78,424,943,644,183,36,3821,3821,3522,2,0,170,0,0,127,3821,3619,3321,1,0,170,0,0,127,202,201,1,0,0,0,0,0,1009,35,974
09,001,035200,"Census Tract 352, Fairfield County, Connecticut",09001035200,1414,1381,33,2074,42,127,135,853,689,219,9,3120,3120,2780,0,0,80,0,1,259,3120,2806,2726,0,0,80,0,0,0,314,54,0,0,0,0,1,259,839,0,839
09,001,035300,"Census Tract 353, Fairfield County, Connecticut",09001035300,1666,1661,5,2645,117,208,295,1115,661,208,41,4070,4070,3580,47,0,336,0,3,104,4070,3969,3479,47,0,336,0,3,104,101,101,0,0,0,0,0,0,1190,28,1162
09,001,035400,"Census Tract 354, Fairfield County, Connecticut",09001035400,2505,2265,240,3188,16,113,194,1663,874,287,41,5321,5321,4704,74,6,260,0,1,276,5321,5152,4627,74,6,260,0,1,184,169,77,0,0,0,0,0,92,1560,0,1560
09,001,042500,"Census Tract 425, Fairfield County, Connecticut",09001042500,2015,1946,69,2727,44,539,667,898,443,107,29,3633,3633,2962,424,0,37,15,16,179,3633,3537,2901,424,0,37,15,0,160,96,61,0,0,0,0,16,19,645,0,645
09,001,042600,"Census Tract 426, Fairfield County, Connecticut",09001042600,2949,2813,136,3492,221,938,730,824,596,154,29,4601,4601,3365,662,0,337,0,0,237,4601,4023,2957,662,0,337,0,0,67,578,408,0,0,0,0,0,170,614,75,539
09,001,042700,"Census Tract 427, Fairfield County, Connecticut",09001042700,3500,3319,181,4435,490,690,1164,957,874,185,75,5586,5586,3627,513,21,529,19,166,711,5586,4318,3178,513,0,529,0,0,98,1268,449,0,21,0,19,166,613,888,0,888
09,001,042800,"Census Tract 428, Fairfield County, Connecticut",09001042800,2796,2598,198,3620,244,758,1022,873,552,105,66,5029,5029,3804,615,0,167,0,91,352,5029,4170,3435,559,0,101,0,1,74,859,369,56,0,66,0,90,278,834,149,685
09,001,042900,"Census Tract 429, Fairfield County, Connecticut",09001042900,979,912,67,1254,41,158,137,483,313,103,19,1619,1619,1504,65,0,3,0,0,47,1619,1500,1385,65,0,3,0,0,47,119,119,0,0,0,0,0,0,202,8,194
09,001,043000,"Census Tract 430, Fairfield County, Connecticut",09001043000,1852,1796,56,2383,382,328,704,583,296,69,21,3197,3197,1982,368,0,42,0,472,333,3197,2193,1726,356,0,42,0,8,61,1004,256,12,0,0,0,464,272,539,194,345
09,001,043100,"Census Tract 431, Fairfield County, Connecticut",09001043100,1983,1809,174,3156,217,401,563,1066,636,237,36,4596,4596,3571,414,0,300,0,23,288,4596,4133,3362,286,0,280,0,6,199,463,209,128,0,20,0,17,89,1303,82,1221
09,001,043200,"Census Tract 432, Fairfield County, Connecticut",09001043200,1813,1652,161,2721,823,469,463,464,420,56,26,3341,3341,2224,305,28,248,0,93,443,3341,1951,1124,273,0,248,0,0,306,1390,1100,32,28,0,0,93,137,494,92,402
